venue,player_name,skill_type,matches,runs,strike_rate,venue_score,wickets,economy,venue_rank
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",H Klaasen,batter,15,614.0,182.73809523809524,222.88214285714287,0.0,0.0,1.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Abhishek Sharma,batter,17,514.0,206.42570281124497,207.21679216867471,0.0,0.0,2.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",N Pooran,batter,3,162.0,249.23076923076923,189.05384615384617,0.0,0.0,3.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",TM Head,batter,11,429.0,185.71428571428572,183.34318181818185,0.0,0.0,4.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SS Iyer,batter,1,82.0,227.77777777777777,142.73333333333335,0.0,0.0,5.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",PJ Cummins,bowler,12,0.0,0.0,261.963503649635,14.0,9.656934306569344,1.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",T Natarajan,bowler,12,0.0,0.0,260.3695652173913,14.0,9.23913043478261,2.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",B Kumar,bowler,13,0.0,0.0,228.10416666666666,12.0,8.458333333333334,3.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",HV Patel,bowler,7,0.0,0.0,206.0,11.0,9.88,4.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",JD Unadkat,bowler,8,0.0,0.0,155.96,8.0,8.08,5.0
"Sawai Mansingh Stadium, Jaipur",YBK Jaiswal,batter,15,609.0,160.68601583113457,209.35557387862798,0.0,0.0,1.0
"Sawai Mansingh Stadium, Jaipur",SV Samson,batter,12,426.0,145.3924914675768,167.6497805948318,0.0,0.0,2.0
"Sawai Mansingh Stadium, Jaipur",R Parag,batter,11,356.0,157.52212389380531,155.20110619469028,0.0,0.0,3.0
"Sawai Mansingh Stadium, Jaipur",V Suryavanshi,batter,4,175.0,233.33333333333334,155.07083333333333,0.0,0.0,4.0
"Sawai Mansingh Stadium, Jaipur",JC Buttler,batter,11,385.0,141.02564102564102,153.09737484737485,0.0,0.0,5.0
"Sawai Mansingh Stadium, Jaipur",YS Chahal,bowler,11,0.0,0.0,242.53556485355648,13.0,8.761506276150628,1.0
"Sawai Mansingh Stadium, Jaipur",Sandeep Sharma,bowler,11,0.0,0.0,188.76543209876544,10.0,8.641975308641975,2.0
"Sawai Mansingh Stadium, Jaipur",Avesh Khan,bowler,7,0.0,0.0,169.77777777777777,9.0,9.444444444444445,3.0
"Sawai Mansingh Stadium, Jaipur",TA Boult,bowler,9,0.0,0.0,157.546511627907,8.0,8.44186046511628,4.0
"Sawai Mansingh Stadium, Jaipur",Rashid Khan,bowler,3,0.0,0.0,134.0,5.0,4.666666666666667,5.0
"Wankhede Stadium, Mumbai",SA Yadav,batter,20,888.0,189.33901918976545,281.75138592750534,0.0,0.0,1.0
"Wankhede Stadium, Mumbai",RG Sharma,batter,21,611.0,156.26598465473145,203.0144097455916,0.0,0.0,2.0
"Wankhede Stadium, Mumbai",Ishan Kishan,batter,15,394.0,161.47540983606558,160.6535519125683,0.0,0.0,3.0
"Wankhede Stadium, Mumbai",JM Sharma,batter,2,65.0,250.0,145.59615384615384,0.0,0.0,4.0
"Wankhede Stadium, Mumbai",C Green,batter,7,229.0,172.18045112781954,144.77055137844613,0.0,0.0,5.0
"Wankhede Stadium, Mumbai",JJ Bumrah,bowler,12,0.0,0.0,451.1519434628975,23.0,5.618374558303887,1.0
"Wankhede Stadium, Mumbai",PP Chawla,bowler,12,0.0,0.0,284.8139534883721,15.0,8.0,2.0
"Wankhede Stadium, Mumbai",TA Boult,bowler,9,0.0,0.0,267.52777777777777,14.0,8.0,3.0
"Wankhede Stadium, Mumbai",Akash Madhwal,bowler,7,0.0,0.0,207.2,11.0,10.0,4.0
"Wankhede Stadium, Mumbai",HH Pandya,bowler,11,0.0,0.0,206.75,11.0,10.571428571428571,5.0
